date,open,high,low,close,volume
2007-10-17,252.6,253.77,244.2,250.48,134323.0
2007-10-18,251.08,253.82,249.23,252.6,138560.0
2007-10-19,252.34,252.34,248.35,248.35,122990.0
2007-10-22,239.85,240.88,236.86,239.94,134309.0
2007-10-23,243.9,245.59,240.4,244.9,122006.0
2007-10-24,247.03,252.16,241.97,243.31,146208.0
2007-10-25,247.47,249.59,244.28,248.8,133659.0
2007-10-26,249.95,255.65,247.67,255.65,140845.0
2007-10-29,258.38,261.45,257.75,260.4,137366.0
2007-10-30,259.51,260.54,256.85,258.87,124680.0
2007-10-31,258.78,260.6,257.82,260.42,121223.0
2007-11-01,263.06,263.15,258.71,260.76,125135.0
2007-11-02,254.77,258.81,254.7,254.74,134372.0
2007-11-05,255.05,255.29,250.69,253.91,112049.0
2007-11-06,254.72,259.47,254.31,259.24,114208.0
2007-11-07,261.78,263.91,258.74,258.74,128526.0
2007-11-08,254.38,255.72,249.36,249.97,133038.0
2007-11-09,252.83,255.13,249.27,252.21,127494.0
2007-11-12,247.89,247.95,241.41,243.89,111397.0
2007-11-13,244.21,245.15,239.39,244.73,118557.0
2007-11-14,251.01,251.49,248.01,250.21,119037.0
2007-11-15,249.79,252.2,245.17,247.39,125937.0
2007-11-16,243.09,244.54,239.81,244.13,106577.0
2007-11-19,245.42,245.42,239.54,239.78,85492.0
2007-11-20,234.58,237.44,230.19,236.91,103630.0
2007-11-21,235.96,237.35,228.22,228.84,108842.0
2007-11-22,226.73,230.33,224.4,228.1,95600.0
2007-11-23,229.15,231.06,222.51,225.54,122054.0
2007-11-26,229.43,236.01,228.02,236.01,96177.0
2007-11-27,230.68,237.42,227.09,236.38,119522.0
2007-11-28,238.99,239.32,232.71,232.87,97351.0
2007-11-29,239.42,240.48,237.7,238.68,100379.0
2007-11-30,239.72,244.07,239.48,241.91,104097.0
2007-12-03,241.95,242.68,239.64,241.61,77396.0
2007-12-04,241.88,244.61,241.68,244.04,83991.0
2007-12-05,243.24,248.17,242.45,247.03,87307.0
2007-12-06,250.8,251.89,248.61,249.63,109116.0
2007-12-07,251.69,251.8,247.38,247.38,109247.0
2007-12-10,246.93,248.09,243.37,244.25,92193.0
2007-12-11,246.22,247.5,243.99,246.85,83125.0
2007-12-12,241.93,247.4,241.83,247.15,89154.0
2007-12-13,246.32,248.29,242.38,245.21,111934.0
2007-12-14,244.51,245.39,239.06,241.5,83458.0
2007-12-17,238.51,240.45,234.18,234.33,74223.0
2007-12-18,231.79,237.94,229.96,236.65,86531.0
2007-12-20,238.64,239.35,234.26,234.4,101499.0
2007-12-21,235.77,239.6,232.98,239.6,101591.0
2007-12-24,242.25,245.45,241.74,245.14,89401.0
2007-12-26,245.87,246.14,242.69,243.48,77044.0
2007-12-27,242.7,244.62,241.23,243.38,65414.0
2007-12-28,241.23,243.62,240.86,241.27,59984.0
2008-01-02,240.47,240.65,235.02,235.3,79056.0
2008-01-03,232.94,235.64,230.86,234.67,70123.0
2008-01-04,234.62,236.59,230.41,235.77,94245.0
2008-01-07,229.39,232.42,229.09,231.0,88415.0
